city,year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
Acton,2000,531,76,33616305.0,278390.5,,310908537,567397.0,43,18816882.0,285529.0,14,4893156.0,179370.5,13923726.0,439275.0,488,292091655.0,584899.0,62,28723149.0,312068.0,263368506.0,609402.5,85.44409922506355,14.555900774936447,18.421052631578945,81.57894736842105,8.097928436911488,91.90207156308851,9.833608221364626,26.004074426358205,32.55813953488372,12.704918032786885
Acton,2001,396,37,20985575.0,584245.0,,244525540,618613.0,34,16709574.0,410690.5,4,744484.0,169259.5,15965090.0,532265.0,362,227815966.0,624524.0,33,20241091.0,601257.0,207574875.0,627205.0,96.45240123275155,3.5475987672484557,10.81081081081081,89.1891891891892,8.585858585858585,91.41414141414141,8.884843040368821,4.455433753128596,11.76470588235294,9.116022099447514
Acton,2002,466,60,37364069.0,625328.0,,289817824,614613.5,31,18515624.0,600664.0,7,4846107.0,638998.0,13669517.0,488244.5,435,271302200.0,615434.0,53,32517962.0,625281.0,238784238.0,614613.5,87.03003412181901,12.969965878180986,11.666666666666666,88.33333333333333,6.652360515021459,93.34763948497854,11.985882163874823,26.173068755338736,22.58064516129032,12.183908045977011
Acton,2003,386,42,23764847.0,516824.5,,241042801,600538.0,38,23048014.0,567052.5,13,9491728.0,715301.0,13556286.0,503069.0,348,217994787.0,604469.0,29,14273119.0,306558.0,203721668.0,627264.0,60.05979756570703,39.94020243429297,30.952380952380953,69.04761904761905,9.844559585492227,90.15544041450777,6.547458861940584,41.18241163859064,34.21052631578947,8.333333333333332
Acton,2004,415,55,44134851.0,520480.0,,290084803,639186.0,35,38288584.0,707670.0,13,22469503.0,943407.0,15819081.0,616357.5,380,251796219.0,622559.0,42,21665348.0,473682.0,230130871.0,646795.0,49.08897959120787,50.91102040879214,23.636363636363637,76.36363636363637,8.433734939759036,91.56626506024097,8.604318240378344,58.68460165567888,37.142857142857146,11.052631578947368
Acton,2005,393,55,28653339.0,525899.0,,268971578,681447.0,40,24140219.0,618412.5,18,10498656.0,636856.0,13641563.0,581451.5,353,244831359.0,690187.0,37,18154683.0,503678.0,226676676.0,725815.0,63.35974665989189,36.64025334010811,32.72727272727273,67.27272727272727,10.178117048346055,89.82188295165395,7.415178788432899,43.490309677803666,45.0,10.48158640226629
Acton,2006,330,54,36114971.0,605798.5,,216643743,643488.5,42,29852030.0,676489.5,21,17567977.0,841854.0,12284053.0,536897.0,288,186791713.0,639981.0,33,18546994.0,536897.0,168244719.0,651435.0,51.355417120506615,48.644582879493385,38.88888888888889,61.111111111111114,12.727272727272727,87.27272727272727,9.929238134884494,58.85019209748885,50.0,11.458333333333332
Acton,2007,334,50,25511096.0,431488.0,,232898295,627227.5,39,36278643.0,609658.0,13,7073420.0,529217.0,29205223.0,617419.5,295,196619652.0,634919.0,37,18437676.0,430430.0,178181976.0,652700.5,72.27316301894675,27.726836981053264,26.0,74.0,11.676646706586826,88.32335329341318,9.377331214074164,19.497476793715794,33.33333333333333,12.54237288135593
Acton,2008,289,52,16008512.0,209233.5,,175578940,571766.0,44,18804534.0,382558.5,20,3946381.0,161825.0,14858153.0,593863.0,245,156774406.0,604221.0,32,12062131.0,324553.0,144712275.0,638748.0,75.34823348978344,24.651766510216568,38.46153846153847,61.53846153846154,15.22491349480969,84.77508650519032,7.693941446029143,20.98632702091953,45.45454545454545,13.061224489795919
Acton,2009,306,56,25720898.0,343706.5,,185734479,603832.5,30,15978029.0,411885.5,15,7226535.0,302237.0,8751494.0,541215.0,276,169756450.0,612381.0,41,18494363.0,364090.0,151262087.0,652972.0,71.9040330551445,28.095966944855505,26.785714285714285,73.21428571428571,9.803921568627452,90.19607843137256,10.894645240283948,45.22795020587333,50.0,14.855072463768115
