decade,proptype,city,flip_num,investor_flip_num,non_investor_flip_num,buy_num,cash_buy_num,cash_total,cash_median,non_cash_median,non_cash_total,total_price,median_price,cash_total_adj,non_cash_total_adj,cash_median_adj,non_cash_median_adj,total_price_adj,median_price_adj,investor_sell_num,investor_sell_total_price,investor_sell_median_price,investor_sell_total_price_adj,investor_sell_median_price_adj,non_investor_sell_num,non_investor_sell_total_price,non_investor_sell_median_price,non_investor_sell_total_price_adj,non_investor_sell_median_price_adj,investor_buy_num,investor_total_price,investor_median_price,investor_total_price_adj,investor_median_price_adj,investor_cash_buy_num,investor_cash_total_adj,investor_cash_median_adj,investor_non_cash_total_adj,investor_non_cash_median_adj,investor_cash_total,investor_cash_median,investor_non_cash_total,investor_non_cash_median,non_investor_buy_num,non_investor_total_price,non_investor_median_price,non_investor_total_price_adj,non_investor_median_price_adj,non_investor_cash_buy_num,non_investor_cash_total_adj,non_investor_cash_median_adj,non_investor_non_cash_total_adj,non_investor_non_cash_median_adj,non_investor_cash_total,non_investor_cash_median,non_investor_non_cash_total,non_investor_non_cash_median,p_total_cash_is_non_investor_adj,p_total_cash_is_investor_adj,p_cash_buy_is_investor,p_cash_buy_is_non_investor,p_buy_is_investor,p_buy_is_non_investor,p_sell_is_investor,p_sell_is_non_investor,p_flip,p_flip_is_investor,p_flip_is_non_investor,p_investor_sell_flip,p_non_investor_sell_flip,p_non_investor_total_is_cash_adj,p_non_investor_total_is_cash,p_investor_total_is_cash_adj,p_investor_total_is_cash,p_investor_is_cash_buy,p_non_investor_is_cash_buy
2000-2009,LND,Acton,10,8,2,84,13,6296866.0,350000.0,901370.0,55781542.0,62078408,871655.0,9680453.0,80936157.0,601429.0,1270591.0,90616610,1265048.5,60,50257825.0,910000.0,72108385.0,1281117.0,24,11820583.0,395500.0,18508225.0,636287.0,8,3762880.0,282500.0,5507961.0,406960.5,2,1298905.0,649452.5,4209056.0,356672.5,910000.0,455000.0,2852880.0,246000.0,76,58315528.0,891460.0,85108649.0,1267799.0,11,8381548.0,601429.0,76727101.0,1277847.0,5386866.0,350000.0,52928662.0,905475.0,86.58218783769726,13.417812162302736,15.384615384615385,84.61538461538461,9.523809523809524,90.47619047619048,71.42857142857143,28.57142857142857,11.904761904761903,80.0,20.0,13.333333333333334,8.333333333333332,9.848056688104636,9.237447014112604,23.582320208875842,24.18360404796326,25.0,14.473684210526317
2000-2009,LND,Arlington,1,0,1,5,3,3041303.0,83874.0,676750.0,1353500.0,4394803,455000.0,4955221.0,1978856.0,118367.0,989428.0,6934077,692451.0,2,1353500.0,676750.0,1978856.0,989428.0,3,3041303.0,83874.0,4955221.0,118367.0,1,2877429.0,2877429.0,4722316.0,4722316.0,1,4722316.0,4722316.0,0.0,,2877429.0,2877429.0,0.0,,4,1517374.0,269437.0,2211761.0,405409.0,2,232905.0,116452.5,1978856.0,989428.0,163874.0,81937.0,1353500.0,676750.0,4.700193997401932,95.29980600259806,33.33333333333333,66.66666666666666,20.0,80.0,40.0,60.0,20.0,0.0,100.0,0.0,33.33333333333333,10.530296899167677,10.799842359233782,100.0,100.0,100.0,50.0
2000-2009,LND,Ashland,29,14,15,160,66,9243849.0,87500.0,391284.0,34640465.0,43884314,216200.0,14356721.0,56578623.0,127144.5,681699.5,70935344,349910.0,76,17841929.0,95000.0,28582629.0,136014.0,84,26042385.0,302599.0,42352715.0,455757.5,61,8220440.0,95000.0,12688292.0,131202.0,51,9255055.0,110486.0,3433237.0,325895.5,6150592.0,75000.0,2069848.0,193750.0,99,35663874.0,400000.0,58247052.0,686367.0,15,5101666.0,206926.0,53145386.0,697082.5,3093257.0,120420.0,32570617.0,405728.5,35.53503616877419,64.4649638312258,77.27272727272727,22.727272727272727,38.125,61.875,47.5,52.5,18.125,48.275862068965516,51.724137931034484,18.421052631578945,17.857142857142858,8.758668164012832,8.673362293731747,72.94169301904464,74.82071519286072,83.60655737704919,15.151515151515152
2000-2009,LND,Bedford,3,2,1,32,12,3641000.0,325000.0,832500.0,16732900.0,20373900,412500.0,5730451.0,25280895.0,499444.0,1259485.0,31011346,693385.0,14,8962900.0,577000.0,13708245.0,890715.5,18,11411000.0,350000.0,17303101.0,534506.5,9,4145000.0,400000.0,6371720.0,628836.0,4,2457273.0,601620.5,3914447.0,656463.0,1500000.0,375000.0,2645000.0,400000.0,23,16228900.0,704000.0,24639626.0,1042910.0,8,3273178.0,435803.5,21366448.0,1789656.0,2141000.0,285000.0,14087900.0,1200000.0,57.119029549332154,42.880970450667846,33.33333333333333,66.66666666666666,28.125,71.875,43.75,56.25,9.375,66.66666666666666,33.33333333333333,14.285714285714285,5.555555555555555,13.284203258604657,13.192514588172951,38.565301049010316,36.18817852834741,44.44444444444444,34.78260869565217
2000-2009,LND,Bellingham,32,11,21,185,29,5137211.0,120000.0,451850.0,68691019.0,73828230,400000.0,7625142.0,103414196.0,206204.0,705371.5,111039338,604474.0,67,21240907.0,300000.0,33358512.0,515339.0,118,52587323.0,524900.0,77680826.0,770651.0,46,13082894.0,167500.0,20693412.0,259395.0,14,2309037.0,40622.5,18384375.0,285698.5,1517650.0,22500.0,11565244.0,187500.0,139,60745336.0,468986.0,90345926.0,713736.0,15,5316105.0,246174.0,85029821.0,733770.5,3619561.0,150000.0,57125775.0,481400.0,69.71811147910427,30.281888520895745,48.275862068965516,51.724137931034484,24.864864864864867,75.13513513513513,36.21621621621622,63.78378378378379,17.2972972972973,34.375,65.625,16.417910447761194,17.796610169491526,5.884166818988605,5.958582565087795,11.158319372368366,11.600262143834538,30.434782608695656,10.79136690647482
2000-2009,LND,Belmont,1,0,1,12,5,2684000.0,459000.0,850000.0,22007000.0,24691000,747500.0,4290287.0,32444603.0,647761.0,1216966.0,36734890,1090087.0,5,20286000.0,2551000.0,29763617.0,3652330.0,7,4405000.0,695000.0,6971273.0,995049.0,4,20802000.0,2551000.0,30911641.0,3652330.0,1,1830312.0,1830312.0,29081329.0,3652330.0,1000000.0,1000000.0,19802000.0,2551000.0,8,3889000.0,429500.0,5823249.0,653336.5,4,2459975.0,620161.5,3363274.0,826980.5,1684000.0,429500.0,2205000.0,527500.0,57.338238677272635,42.66176132272736,20.0,80.0,33.33333333333333,66.66666666666666,41.66666666666667,58.333333333333336,8.333333333333332,0.0,100.0,0.0,14.285714285714285,42.24402906350046,43.30161995371561,5.9211091381399,4.807230074031343,25.0,50.0
2000-2009,LND,Beverly,17,15,2,83,27,13056510.0,320000.0,502274.0,29045706.0,42102216,500000.0,20820173.0,44171090.0,474050.0,782688.5,64991263,760935.0,43,28300510.0,580182.0,42735217.0,912098.0,40,13801706.0,212750.0,22256046.0,348683.5,24,8199277.0,197500.0,12081880.0,291329.5,7,2209148.0,228789.0,9872732.0,400639.0,1376775.0,155000.0,6822502.0,255000.0,59,33902939.0,544000.0,52909383.0,869814.0,20,18611025.0,843886.0,34298358.0,869814.0,11679735.0,547700.0,22223204.0,544000.0,89.38938691815865,10.610613081841347,25.925925925925924,74.07407407407408,28.915662650602407,71.08433734939759,51.80722891566265,48.19277108433735,20.481927710843372,88.23529411764706,11.76470588235294,34.883720930232556,5.0,35.17528261480577,34.45050884821519,18.28480335841773,16.791419536137152,29.166666666666668,33.89830508474576
2000-2009,LND,Bolton,14,3,11,61,22,5699630.0,200000.0,498000.0,21363290.0,27062920,295000.0,8866923.0,32924384.0,322278.5,846606.0,41791307,432325.0,20,10554653.0,268500.0,16059349.0,430958.5,41,16508267.0,331000.0,25731958.0,501104.0,8,2723000.0,268500.0,4122331.0,430958.5,3,1289996.0,388128.0,2832335.0,432325.0,842000.0,262000.0,1881000.0,275000.0,53,24339920.0,350000.0,37668976.0,501104.0,19,7576927.0,314418.0,30092049.0,907117.5,4857630.0,200000.0,19482290.0,566831.5,85.45159352348047,14.548406476519531,13.636363636363635,86.36363636363636,13.114754098360656,86.88524590163934,32.78688524590164,67.21311475409836,22.950819672131146,21.428571428571427,78.57142857142857,15.0,26.82926829268293,20.114502183441356,19.95746082978087,31.292877743199178,30.921777451340432,37.5,35.84905660377358
2000-2009,LND,Boston,70,48,22,318,132,19511007.0,94000.0,327507.5,68674917.0,88185924,207500.0,29751722.0,103186549.0,146132.5,503964.5,132938271,324023.5,122,39237640.0,266450.0,58396207.0,431209.5,196,48948284.0,161500.0,74542064.0,245548.5,97,27012167.0,165000.0,40527927.0,251109.0,62,17488146.0,200887.5,23039781.0,494608.0,11539157.0,132750.0,15473010.0,307000.0,221,61173757.0,243500.0,92410344.0,360722.0,70,12263576.0,112917.0,80146768.0,506071.0,7971850.0,72000.0,53201907.0,329600.0,41.21971830739747,58.78028169260253,46.96969696969697,53.03030303030303,30.50314465408805,69.49685534591194,38.36477987421384,61.63522012578616,22.0125786163522,68.57142857142857,31.428571428571427,39.34426229508197,11.224489795918368,13.27078275999059,13.031486687992697,43.15085249734091,42.71836835600787,63.91752577319587,31.674208144796378
2000-2009,LND,Boxborough,5,4,1,73,7,2511535.0,365000.0,417500.0,32671263.0,35182798,412500.0,3783158.0,51469587.0,558897.0,656347.5,55252745,627772.0,58,27953426.0,412500.0,44111939.0,627772.0,15,7229372.0,460106.0,11140806.0,790632.0,6,2024900.0,281250.0,2987059.0,410125.0,0,0.0,,2987059.0,410125.0,0.0,,2024900.0,281250.0,67,33157898.0,416000.0,52265686.0,653989.0,7,3783158.0,558897.0,48482528.0,664994.0,2511535.0,365000.0,30646363.0,423000.0,100.0,0.0,0.0,100.0,8.21917808219178,91.78082191780823,79.45205479452055,20.54794520547945,6.8493150684931505,80.0,20.0,6.896551724137931,6.666666666666667,7.238320759819358,7.574469889496614,0.0,0.0,0.0,10.44776119402985
