year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
2000,45620,6316,3989212761.0,384365.0,,26612739017,453917.0,4209,3247520188.0,420972.0,1033,776483824.0,274547.0,2471036364.0,455748.0,41411,23365218829.0,457395.0,5283,3212728937.0,402669.0,20152489892.0,457578.0,80.53541210959743,19.46458789040257,16.35528815706143,83.64471184293856,9.226216571679089,90.77378342832091,13.750048567970122,23.910053796407684,24.54264670943217,12.757479896645819
2001,42319,5411,3306155562.0,410690.0,,25360341357,474098.0,4006,3161891873.0,446776.0,956,614926246.0,314227.0,2546965627.0,472551.0,38313,22198449484.0,477707.0,4455,2691229316.0,427874.0,19507220168.0,481143.0,81.40056526475085,18.599434735249158,17.66771391609684,82.33228608390316,9.46619721638035,90.53380278361965,12.123501319043747,19.448047899770796,23.864203694458315,11.627906976744185
2002,45108,5513,3552852709.0,459524.0,,27962265078,525007.0,4465,3012314698.0,525171.0,1019,708905411.0,413572.0,2303409287.0,541582.0,40643,24949950380.0,525007.0,4494,2843947298.0,467730.0,22106003082.0,525171.0,80.04686743122737,19.953132568772638,18.483584255396334,81.51641574460366,9.898465904052497,90.1015340959475,11.398609034027265,23.53357740048447,22.82194848824188,11.057254631793914
2003,45657,5795,3763266359.0,487348.0,,29145005700,542371.0,4419,3181262233.0,550231.0,1164,892253738.0,482239.0,2289008495.0,565952.0,41238,25963743467.0,542371.0,4631,2871012621.0,487348.0,23092730846.0,548659.0,76.29044418112633,23.709555818873675,20.0862812769629,79.91371872303709,9.678691109796965,90.32130889020303,11.057776104778828,28.04716092701937,26.3408010862186,11.229933556428536
2004,53466,6955,5175660560.0,547873.0,,36552639361,573745.0,5590,4490902144.0,593529.0,1505,1338774613.0,539351.0,3152127531.0,608748.0,47876,32061737217.0,570701.0,5450,3836885947.0,547873.0,28224851270.0,573745.0,74.13326091462227,25.86673908537773,21.639108554996405,78.3608914450036,10.45524258407212,89.54475741592788,11.967180446372005,29.810816848651424,26.923076923076923,11.383574233436377
2005,52168,7091,5255546581.0,558492.0,,36244175187,577748.0,5671,4701585639.0,612013.0,1711,1514317921.0,577748.0,3187267718.0,629523.5,46497,31542589548.0,577600.0,5380,3741228660.0,555527.0,27801360888.0,577748.0,71.18629056633986,28.81370943366014,24.129177831053447,75.87082216894655,10.870648673516332,89.12935132648366,11.860879888465648,32.20866399706986,30.171045670957504,11.570638965954792
2006,44306,6781,4765912669.0,527747.0,,29290069819,544055.0,5242,4045688092.0,551214.0,2185,1619042610.0,515421.0,2426645482.0,572690.0,39064,25244381727.0,542624.0,4596,3146870059.0,532602.0,22097511668.0,544055.0,66.02869749311388,33.97130250688611,32.22238607874945,67.77761392125056,11.831354669796417,88.16864533020359,12.465625393527786,40.018967680714624,41.68256390690576,11.765308212164653
2007,42835,8133,5593961567.0,492172.0,,28779763563,522160.0,6207,4965360141.0,486448.0,3452,2286244289.0,447061.0,2679115852.0,550385.0,36628,23814403422.0,529217.0,4681,3307717278.0,530627.0,20506686144.0,529217.0,59.13013949743499,40.86986050256501,42.444362473871884,57.55563752612812,14.490486751488268,85.50951324851172,13.88956598822163,46.04387645766136,55.614628645078135,12.779840559135089
2008,38121,10422,5893045842.0,389464.0,,22973949306,460574.0,7746,4811070116.0,377772.0,5494,2889472187.0,348031.0,1921597929.0,483377.0,30375,18162879190.0,481996.0,4928,3003573655.0,459208.0,15159305535.0,483377.0,50.968102667612,49.031897332388006,52.715409710228364,47.284590289771636,20.31950893208468,79.68049106791533,16.536880654107353,60.05882511232975,70.92693002840176,16.2238683127572
2009,36538,9513,4669017438.0,347221.0,,20172483337,448435.0,6670,3218698292.0,337381.0,4530,1872077530.0,295208.0,1346620762.0,463828.0,29868,16953785045.0,465304.0,4983,2796939908.0,414697.0,14156845137.0,474442.0,59.90425062961609,40.095749370383906,47.61904761904761,52.38095238095239,18.25496743116755,81.74503256883244,16.49743641656511,58.16256635960585,67.9160419790105,16.68340699075934
